dc.identifier.uri	dc.source.uri	dc.creator	dc.relation
https://hdl.handle.net/10794/147	https://spraakbanken.gu.se/en/resources/eukalyptus	n/a, n/a	
https://hdl.handle.net/10794/148	https://spraakbanken.gu.se/en/resources/europarl-svda	n/a, n/a	
https://hdl.handle.net/10794/149	https://spraakbanken.gu.se/en/resources/europarl-svde	n/a, n/a	
https://hdl.handle.net/10794/150	https://spraakbanken.gu.se/en/resources/europarl-svel	n/a, n/a	
https://hdl.handle.net/10794/151	https://spraakbanken.gu.se/en/resources/europarl-sven	n/a, n/a	
https://hdl.handle.net/10794/152	https://spraakbanken.gu.se/en/resources/europarl-sves	n/a, n/a	
https://hdl.handle.net/10794/153	https://spraakbanken.gu.se/en/resources/europarl-svfi	n/a, n/a	
https://hdl.handle.net/10794/154	https://spraakbanken.gu.se/en/resources/europarl-svfr	n/a, n/a	
https://hdl.handle.net/10794/155	https://spraakbanken.gu.se/en/resources/europarl-svit	n/a, n/a	
https://hdl.handle.net/10794/156	https://spraakbanken.gu.se/en/resources/europarl-svnl	n/a, n/a	
https://hdl.handle.net/10794/157	https://spraakbanken.gu.se/en/resources/europarl-svpt	n/a, n/a	
https://hdl.handle.net/10794/158	https://spraakbanken.gu.se/en/resources/europarl-sv	n/a, n/a	
https://hdl.handle.net/10794/159	https://spraakbanken.gu.se/en/resources/euterpe	n/a, n/a	
https://hdl.handle.net/10794/160	https://spraakbanken.gu.se/en/resources/familjeliv-adoption	n/a, n/a	
https://hdl.handle.net/10794/161	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-ekonomi	n/a, n/a	
https://hdl.handle.net/10794/162	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-familjeliv	n/a, n/a	
https://hdl.handle.net/10794/163	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-fritid	n/a, n/a	
https://hdl.handle.net/10794/164	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-husdjur	n/a, n/a	
https://hdl.handle.net/10794/165	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-hushem	n/a, n/a	
https://hdl.handle.net/10794/166	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-kropp	n/a, n/a	
https://hdl.handle.net/10794/167	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-noje	n/a, n/a	
https://hdl.handle.net/10794/168	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-samhalle	n/a, n/a	
https://hdl.handle.net/10794/169	https://spraakbanken.gu.se/en/resources/familjeliv-allmanna-sandladan	n/a, n/a	
https://hdl.handle.net/10794/170	https://spraakbanken.gu.se/en/resources/familjeliv-anglarum	n/a, n/a	
https://hdl.handle.net/10794/171	https://spraakbanken.gu.se/en/resources/familjeliv-expert	n/a, n/a	
https://hdl.handle.net/10794/172	https://spraakbanken.gu.se/en/resources/familjeliv-foralder	n/a, n/a	
https://hdl.handle.net/10794/173	https://spraakbanken.gu.se/en/resources/familjeliv-gravid	n/a, n/a	
https://hdl.handle.net/10794/174	https://spraakbanken.gu.se/en/resources/familjeliv-kansliga	n/a, n/a	
https://hdl.handle.net/10794/175	https://spraakbanken.gu.se/en/resources/familjeliv-medlem-allmanna	n/a, n/a	
